Study level 1	Study level 2	Study level 3	Name	Image	LayerData	L10_23s	L10_pre	L10_total	L11_total	L12_total	L13_total	lesion_ count	lobe_23s	lobe_pre	lobe_total	L11_23s	L11_pre	L12_23s	L12_pre	L13_23s	L13_pre	cells_total_all_granulomas	cells_total_granuloma	Cy5_all_granulomas_percent	Cy5_cells_all_granulomas	Cy5_cells_granuloma	Cy5_granuloma_percent - Cy5_granuloma_percent	DAPI_cells_all_granulomas	DAPI_cells_granuloma	object_info - ROIType	object_info - ROIName	object_info - Envelope	TRITC_all_granulomas_percent	TRITC_cells_all_granulomas	TRITC_cells_granuloma	TRITC_granuloma_percent - TRITC_granuloma_percent	lobe_23s_1	lobe_DAPI_1	lobe_pre_1	lobe_total_mtb_1	L01_23s	L01_DAPI	L01_pre	L01_total	L02_23s	L02_DAPI	L02_pre	L02_total	L03_23s	L03_DAPI	L03_pre	L03_total	L04_23s	L04_DAPI	L04_pre	L04_total	L05_23s	L05_DAPI	L05_pre	L05_total	L06_23s	L06_DAPI	L06_pre	L06_total	L07_23s	L07_DAPI	L07_pre	L07_total	L08_23s	L08_DAPI	L08_pre	L08_total	L09_23s	L09_DAPI	L09_pre	L09_total	L10_DAPI	L11_DAPI	L12_DAPI	L13_DAPI	L14_23s	L14_DAPI	L14_pre	L14_total	lesion_count	total_DAPI
Sarah Cooper	Final RS Ratio Data	BCG16	BCG16	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D56 13-16 23s(F) pre(T)_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2153\ses686_61881_Result.mld	0	0	0	0	0	0	6	123	7	130	0	0	0	0	0	0	5596	431	559600	0	0	0	5533	423				0.107219442	6	0	0	123	6218	7	130	25	472	0	25	16	565	0	16	20	1841	2	22	13	592	1	14	23	1840	3	26	26	970	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6280
Sarah Cooper	Final RS Ratio Data	BCG16	BCG16	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D56 13-16 23s(F) pre(T)_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2153\ses686_61881_Result.mld	0	0	0	0	0	0	6	123	7	130	0	0	0	0	0	0	5596	516	559600	0	0	0	5533	508				0.107219442	6	0	0	123	6218	7	130	25	472	0	25	16	565	0	16	20	1841	2	22	13	592	1	14	23	1840	3	26	26	970	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6280
Sarah Cooper	Final RS Ratio Data	BCG16	BCG16	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D56 13-16 23s(F) pre(T)_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2153\ses686_61881_Result.mld	0	0	0	0	0	0	6	123	7	130	0	0	0	0	0	0	5596	1636	559600	0	0	0	5533	1620				0.107219442	6	2	0.122249389	123	6218	7	130	25	472	0	25	16	565	0	16	20	1841	2	22	13	592	1	14	23	1840	3	26	26	970	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6280
Sarah Cooper	Final RS Ratio Data	BCG16	BCG16	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D56 13-16 23s(F) pre(T)_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2153\ses686_61881_Result.mld	0	0	0	0	0	0	6	123	7	130	0	0	0	0	0	0	5596	546	559600	0	0	0	5533	537				0.107219442	6	1	0.183150183	123	6218	7	130	25	472	0	25	16	565	0	16	20	1841	2	22	13	592	1	14	23	1840	3	26	26	970	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6280
Sarah Cooper	Final RS Ratio Data	BCG16	BCG16	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D56 13-16 23s(F) pre(T)_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2153\ses686_61881_Result.mld	0	0	0	0	0	0	6	123	7	130	0	0	0	0	0	0	5596	1611	559600	0	0	0	5533	1599				0.107219442	6	3	0.186219739	123	6218	7	130	25	472	0	25	16	565	0	16	20	1841	2	22	13	592	1	14	23	1840	3	26	26	970	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6280
Sarah Cooper	Final RS Ratio Data	BCG16	BCG16	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 23s(F) pre(T)\BCG D56 13-16 23s(F) pre(T)_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2153\ses686_61881_Result.mld	0	0	0	0	0	0	6	123	7	130	0	0	0	0	0	0	5596	856	559600	0	0	0	5533	846				0.107219442	6	0	0	123	6218	7	130	25	472	0	25	16	565	0	16	20	1841	2	22	13	592	1	14	23	1840	3	26	26	970	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6280
Sarah Cooper	Final RS Ratio Data	BCG09	BCG09	"\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\GP, Mm, NHP\RNAscope 23s, pre-rRNA optimization\9.24.2020\BCG D56 9-12 23s pre 30min_01_Maximum_Z.vsi"	\\cvmvisiopharm01\VIS_Migration\d2\e2157\ses687_58406_Result.mld	0	0	0	0	0	0		37	19	56	0	0	0	0	0	0	17306	17306	1730600	0	0	0	17266	17266				0.109788513	19	19	0.109788513	36	18873	19	55	37	19036	19	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	19036
Sarah Cooper	Final RS Ratio Data	BCG10	BCG10	"\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\GP, Mm, NHP\RNAscope 23s, pre-rRNA optimization\9.24.2020\BCG D56 9-12 23s pre 30min_03_Maximum_Z.vsi"	\\cvmvisiopharm01\VIS_Migration\d2\e2158\ses690_58399_Result.mld	0	0	0	0	0	0		17	7	24	0	0	0	0	0	0	4814	4814	481400	0	0	0	4798	4798				0.145409223	7	7	0.145409223	17	4801	7	24	17	4801	7	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4801
Sarah Cooper	Final RS Ratio Data	BCG11	BCG11_L1	"\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\GP, Mm, NHP\RNAscope 23s, pre-rRNA optimization\9.24.2020\BCG D56 9-12 23s pre 30min_02_Maximum_Z.vsi"	\\cvmvisiopharm01\VIS_Migration\d2\e2159\ses691_58384_Result.mld	0	0	0	0	0	0		48	39	87	0	0	0	0	0	0	11148	11148	1114800	0	0	0	11091	11091				0.340868317	38	38	0.340868317	48	16373	39	87	46	12518	38	84	2	3936	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12518
Sarah Cooper	Final RS Ratio Data	BCG12	BCG12	"\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\GP, Mm, NHP\RNAscope 23s, pre-rRNA optimization\9.24.2020\BCG D56 9-12 23s pre 30min_04_Maximum_Z.vsi"	\\cvmvisiopharm01\VIS_Migration\d2\e2161\ses689_58394_Result.mld	0	0	0	0	0	0		73	35	108	0	0	0	0	0	0	19262	19262	1926200	0	0	0	19162	19162				0.181704911	35	35	0.181704911	73	19177	35	108	73	19353	35	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	19353
Sarah Cooper	Final RS Ratio Data	BCG13	BCG13_rescan	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 rescan\BCG D56 13-16 23s(F) pre(T) rescan_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2162\ses688_61879_Result.mld	2009	426	2435	33	109	15	13	4859	861	5720	33	0	101	8	14	1	48139	926	4813900	0	0	0	45090	915				1.728328382	832	1	0.107991361	5099	48624	907	6006	24	1043	1	25	975	9200	100	1075	37	1446	1	38	56	1803	3	59	97	2911	2	99	146	2117	11	157	71	852	15	86	72	908	7	79	1224	8596	286	1510	10237	2202	2753	1650	0	0	0	0	44	45716
Sarah Cooper	Final RS Ratio Data	BCG13	BCG13_rescan	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 rescan\BCG D56 13-16 23s(F) pre(T) rescan_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2162\ses688_61879_Result.mld	2009	426	2435	33	109	15	13	4859	861	5720	33	0	101	8	14	1	48139	8800	4813900	0	0	0	45090	8375				1.728328382	832	95	1.079545455	5099	48624	907	6006	24	1043	1	25	975	9200	100	1075	37	1446	1	38	56	1803	3	59	97	2911	2	99	146	2117	11	157	71	852	15	86	72	908	7	79	1224	8596	286	1510	10237	2202	2753	1650	0	0	0	0	44	45716
Sarah Cooper	Final RS Ratio Data	BCG13	BCG13_rescan	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 rescan\BCG D56 13-16 23s(F) pre(T) rescan_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2162\ses688_61879_Result.mld	2009	426	2435	33	109	15	13	4859	861	5720	33	0	101	8	14	1	48139	1346	4813900	0	0	0	45090	1329				1.728328382	832	1	0.074294205	5099	48624	907	6006	24	1043	1	25	975	9200	100	1075	37	1446	1	38	56	1803	3	59	97	2911	2	99	146	2117	11	157	71	852	15	86	72	908	7	79	1224	8596	286	1510	10237	2202	2753	1650	0	0	0	0	44	45716
Sarah Cooper	Final RS Ratio Data	BCG13	BCG13_rescan	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 rescan\BCG D56 13-16 23s(F) pre(T) rescan_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2162\ses688_61879_Result.mld	2009	426	2435	33	109	15	13	4859	861	5720	33	0	101	8	14	1	48139	1661	4813900	0	0	0	45090	1642				1.728328382	832	3	0.180614088	5099	48624	907	6006	24	1043	1	25	975	9200	100	1075	37	1446	1	38	56	1803	3	59	97	2911	2	99	146	2117	11	157	71	852	15	86	72	908	7	79	1224	8596	286	1510	10237	2202	2753	1650	0	0	0	0	44	45716
Sarah Cooper	Final RS Ratio Data	BCG13	BCG13_rescan	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 rescan\BCG D56 13-16 23s(F) pre(T) rescan_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2162\ses688_61879_Result.mld	2009	426	2435	33	109	15	13	4859	861	5720	33	0	101	8	14	1	48139	2743	4813900	0	0	0	45090	2712				1.728328382	832	2	0.072912869	5099	48624	907	6006	24	1043	1	25	975	9200	100	1075	37	1446	1	38	56	1803	3	59	97	2911	2	99	146	2117	11	157	71	852	15	86	72	908	7	79	1224	8596	286	1510	10237	2202	2753	1650	0	0	0	0	44	45716
Sarah Cooper	Final RS Ratio Data	BCG13	BCG13_rescan	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 rescan\BCG D56 13-16 23s(F) pre(T) rescan_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2162\ses688_61879_Result.mld	2009	426	2435	33	109	15	13	4859	861	5720	33	0	101	8	14	1	48139	2035	4813900	0	0	0	45090	1964				1.728328382	832	11	0.540540541	5099	48624	907	6006	24	1043	1	25	975	9200	100	1075	37	1446	1	38	56	1803	3	59	97	2911	2	99	146	2117	11	157	71	852	15	86	72	908	7	79	1224	8596	286	1510	10237	2202	2753	1650	0	0	0	0	44	45716
Sarah Cooper	Final RS Ratio Data	BCG13	BCG13_rescan	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 rescan\BCG D56 13-16 23s(F) pre(T) rescan_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2162\ses688_61879_Result.mld	2009	426	2435	33	109	15	13	4859	861	5720	33	0	101	8	14	1	48139	797	4813900	0	0	0	45090	766				1.728328382	832	15	1.882057716	5099	48624	907	6006	24	1043	1	25	975	9200	100	1075	37	1446	1	38	56	1803	3	59	97	2911	2	99	146	2117	11	157	71	852	15	86	72	908	7	79	1224	8596	286	1510	10237	2202	2753	1650	0	0	0	0	44	45716
Sarah Cooper	Final RS Ratio Data	BCG13	BCG13_rescan	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 rescan\BCG D56 13-16 23s(F) pre(T) rescan_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2162\ses688_61879_Result.mld	2009	426	2435	33	109	15	13	4859	861	5720	33	0	101	8	14	1	48139	866	4813900	0	0	0	45090	834				1.728328382	832	8	0.923787529	5099	48624	907	6006	24	1043	1	25	975	9200	100	1075	37	1446	1	38	56	1803	3	59	97	2911	2	99	146	2117	11	157	71	852	15	86	72	908	7	79	1224	8596	286	1510	10237	2202	2753	1650	0	0	0	0	44	45716
Sarah Cooper	Final RS Ratio Data	BCG13	BCG13_rescan	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 rescan\BCG D56 13-16 23s(F) pre(T) rescan_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2162\ses688_61879_Result.mld	2009	426	2435	33	109	15	13	4859	861	5720	33	0	101	8	14	1	48139	8621	4813900	0	0	0	45090	7921				1.728328382	832	272	3.155086417	5099	48624	907	6006	24	1043	1	25	975	9200	100	1075	37	1446	1	38	56	1803	3	59	97	2911	2	99	146	2117	11	157	71	852	15	86	72	908	7	79	1224	8596	286	1510	10237	2202	2753	1650	0	0	0	0	44	45716
Sarah Cooper	Final RS Ratio Data	BCG13	BCG13_rescan	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 rescan\BCG D56 13-16 23s(F) pre(T) rescan_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2162\ses688_61879_Result.mld	2009	426	2435	33	109	15	13	4859	861	5720	33	0	101	8	14	1	48139	2	4813900	0	0	0	45090	2				1.728328382	832	0	0	5099	48624	907	6006	24	1043	1	25	975	9200	100	1075	37	1446	1	38	56	1803	3	59	97	2911	2	99	146	2117	11	157	71	852	15	86	72	908	7	79	1224	8596	286	1510	10237	2202	2753	1650	0	0	0	0	44	45716
Sarah Cooper	Final RS Ratio Data	BCG13	BCG13_rescan	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 rescan\BCG D56 13-16 23s(F) pre(T) rescan_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2162\ses688_61879_Result.mld	2009	426	2435	33	109	15	13	4859	861	5720	33	0	101	8	14	1	48139	14247	4813900	0	0	0	45090	12602				1.728328382	832	414	2.905874921	5099	48624	907	6006	24	1043	1	25	975	9200	100	1075	37	1446	1	38	56	1803	3	59	97	2911	2	99	146	2117	11	157	71	852	15	86	72	908	7	79	1224	8596	286	1510	10237	2202	2753	1650	0	0	0	0	44	45716
Sarah Cooper	Final RS Ratio Data	BCG13	BCG13_rescan	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 rescan\BCG D56 13-16 23s(F) pre(T) rescan_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2162\ses688_61879_Result.mld	2009	426	2435	33	109	15	13	4859	861	5720	33	0	101	8	14	1	48139	2032	4813900	0	0	0	45090	2014				1.728328382	832	0	0	5099	48624	907	6006	24	1043	1	25	975	9200	100	1075	37	1446	1	38	56	1803	3	59	97	2911	2	99	146	2117	11	157	71	852	15	86	72	908	7	79	1224	8596	286	1510	10237	2202	2753	1650	0	0	0	0	44	45716
Sarah Cooper	Final RS Ratio Data	BCG13	BCG13_rescan	\\campusrstor1.onefs.colostate.edu\cvmbs\RSTOR-IMPAc-TB\Pathology\SKC Scans\Base Period - HN878 Erdman Pilot\RNAscope\10.28.20 rescan\BCG D56 13-16 23s(F) pre(T) rescan_02_Maximum_Z.vsi	\\cvmvisiopharm01\VIS_Migration\d2\e2162\ses688_61879_Result.mld	2009	426	2435	33	109	15	13	4859	861	5720	33	0	101	8	14	1	48139	2568	4813900	0	0	0	45090	2523				1.728328382	832	8	0.31152648	5099	48624	907	6006	24	1043	1	25	975	9200	100	1075	37	1446	1	38	56	1803	3	59	97	2911	2	99	146	2117	11	157	71	852	15	86	72	908	7	79	1224	8596	286	1510	10237	2202	2753	1650	0	0	0	0	44	45716
